Ensemble_ID	NOM_1	NOM_2	OSF_1	OSF_2	OSCC_1	OSCC_2
ENSG00000142609	4	4	0	44	153	65
ENSG00000233542	0	2	2	0	41	11
ENSG00000187730	10	4	10	31	33	10
ENSG00000226969	0	0	0	4	8	5
ENSG00000067606	503	269	220	541	615	268
ENSG00000271806	49	8	8	48	52	24
ENSG00000182873	77	16	30	71	46	16
ENSG00000162585	493	461	636	1403	1272	262
ENSG00000269554	0	0	0	0	0	0
ENSG00000203301	24	29	55	11	29	11
ENSG00000243558	0	0	0	0	0	0
ENSG00000234396	0	0	0	2	1	0
ENSG00000157933	2577	2379	2221	3169	1309	888
ENSG00000116151	131	90	101	170	111	42
ENSG00000272161	0	4	0	0	4	2
ENSG00000269753	0	8	1	17	13	12
ENSG00000269896	28	6	7	8	13	15
ENSG00000238240	0	0	0	0	0	0
ENSG00000272420	0	6	6	8	8	4
ENSG00000271921	18	0	2	6	14	4
ENSG00000271847	7	4	0	6	7	2
ENSG00000178642	0	0	0	0	0	0
ENSG00000157916	3822	3314	3450	5902	5148	1799
ENSG00000157911	496	547	558	737	1193	365
ENSG00000149527	2096	1217	917	6779	2042	744
ENSG00000224387	23	5	9	65	33	3
ENSG00000229393	24	6	15	66	29	8
ENSG00000157881	562	788	1387	1340	810	342
ENSG00000197921	30	30	67	47	65	119
ENSG00000272449	26	22	41	72	97	48
ENSG00000238164	91	30	40	47	84	14
ENSG00000157873	1226	949	626	480	566	112
ENSG00000225931	7	8	0	12	14	8
ENSG00000228037	4	6	10	11	20	3
ENSG00000157870	507	250	447	604	923	244
ENSG00000142606	24	22	11	27	69	36
ENSG00000237058	0	0	0	0	2	1
ENSG00000215912	24	6	8	44	102	36
ENSG00000233234	0	0	0	0	8	0
ENSG00000231630	0	0	0	0	1	3
ENSG00000169717	0	0	0	2	14	9
ENSG00000177133	30	22	36	3	35	22
ENSG00000256761	0	0	0	0	0	0
ENSG00000142611	51	78	65	31	400	58
ENSG00000226286	0	2	6	0	2	0
ENSG00000272235	2	2	8	14	42	19
ENSG00000130762	1007	773	811	1453	2393	489
ENSG00000272088	10	10	9	4	7	6
ENSG00000162591	2845	2060	1918	374	717	302
ENSG00000207776	0	0	0	4	0	1
ENSG00000238260	4	0	2	23	11	2
ENSG00000158109	2534	2728	2599	3012	5248	2457
ENSG00000116213	438	477	633	960	885	472
ENSG00000078900	628	182	306	422	410	182
ENSG00000227589	0	0	0	2	25	9
ENSG00000235131	37	0	7	4	12	0
ENSG00000227372	444	623	673	367	171	62
ENSG00000162592	3	8	3	8	40	16
ENSG00000235169	34	17	14	58	43	17
ENSG00000130764	1280	2232	2411	1816	1520	883
ENSG00000266075	0	0	2	2	3	0
