Ensembl_ID	MN_1	OSFSCC_1	MN_2	OSFSCC_2
ENSG00000271806.1_8	4	1	14	6
ENSG00000182873.5_10	29	27	18	53
ENSG00000162585.17_9	486	484	606	286
ENSG00000234396.3_10	0	0	0	0
ENSG00000157933.11_7	3877	4037	2548	2381
ENSG00000287356.1_5	13	8	9	0
ENSG00000116151.14_14	207	168	228	241
ENSG00000272161.1_9	0	0	1	0
ENSG00000269896.2_9	44	16	33	9
ENSG00000272420.1_9	3	11	8	0
ENSG00000157916.20_8	6030	5977	6396	2726
ENSG00000157911.11_13	489	452	444	169
ENSG00000149527.18_14	2331	3587	785	145
ENSG00000224387.1_10	10	12	0	0
ENSG00000229393.1_10	12	13	1	0
ENSG00000157881.16_15	551	735	658	248
ENSG00000197921.6_7	40	10	36	12
ENSG00000272449.3_11	19	8	7	0
ENSG00000238164.6_17	36	13	33	5
ENSG00000157873.18_12	1074	664	820	148
ENSG00000225931.3_9	1	1	3	0
ENSG00000228037.1_8	2	3	2	0
ENSG00000289610.2_2	0	0	0	0
ENSG00000157870.17_8	476	555	355	194
ENSG00000142606.16_12	11	1	10	0
ENSG00000237058.1_8	4	0	12	0
ENSG00000215912.13_11	4	3	4	0
ENSG00000285945.1_6	0	0	0	0
ENSG00000283259.1_8	0	0	0	0
ENSG00000233234.1_10	0	0	0	0
ENSG00000287396.1_3	0	1	0	2
ENSG00000231630.1_10	0	0	0	0
ENSG00000284745.1_8	0	2	0	0
ENSG00000169717.7_7	0	0	0	0
ENSG00000177133.14_12	15	0	18	0
ENSG00000142611.17_11	15	25	41	34
ENSG00000226286.1_10	0	0	0	0
ENSG00000279839.1_8	1	0	1	44
ENSG00000272235.1_8	1	7	3	0
ENSG00000287828.1_5	0	6	4	9
ENSG00000286518.1_5	1	1	3	0
ENSG00000130762.15_9	1523	765	852	32
ENSG00000272088.1_8	0	7	8	0
ENSG00000162591.17_9	1669	1639	1083	74
ENSG00000207776.1	0	0	0	0
ENSG00000238260.3_11	6	4	2	0
ENSG00000158109.15_6	4857	5629	4591	1409
ENSG00000116213.16_11	549	798	597	410
ENSG00000078900.15_12	925	614	345	67
ENSG00000227589.1_10	0	0	1	4
ENSG00000235131.1_9	0	0	0	0
ENSG00000227372.12_11	412	164	490	9
ENSG00000162592.10_7	0	2	5	0
ENSG00000235169.11_10	98	4	126	0
ENSG00000130764.10_8	1572	2272	2146	1374
ENSG00000266075.1	0	0	2	10
ENSG00000272153.1_8	12	12	6	0
ENSG00000116198.14_12	1535	2530	1687	3026
ENSG00000169598.17_8	129	94	169	30
ENSG00000264428.1	0	0	0	0
ENSG00000198912.12_8	635	1032	814	1218
ENSG00000236423.8_10	10	4	49	7
ENSG00000233304.7_8	0	0	0	0
ENSG00000226374.3_9	0	0	0	0
ENSG00000284668.2_8	0	0	0	0
ENSG00000284703.1_9	1	3	4	66
ENSG00000229280.1_5	0	0	2	40
ENSG00000235054.4_8	0	1	0	0
ENSG00000284694.1_8	0	0	0	0
ENSG00000227169.2_11	0	0	0	0
ENSG00000232596.3_8	0	0	15	0
ENSG00000196581.11_6	142	1733	67	59
ENSG00000287586.1_5	0	1	0	0
ENSG00000284739.1_9	0	0	0	0
ENSG00000284674.1_6	0	1	0	0
ENSG00000231510.1_10	0	4	3	0
ENSG00000284616.1_8	0	1	2	1
ENSG00000284692.2_9	0	1	2	0
ENSG00000284666.1_8	0	0	0	0
ENSG00000260972.1_8	0	0	0	0
ENSG00000283356.1_8	0	0	0	0
ENSG00000236948.2_12	0	0	0	0
ENSG00000264341.1	0	0	0	0
ENSG00000289893.1_1	0	0	0	0
ENSG00000216045.2	0	0	0	0
ENSG00000264101.1	0	0	0	0
ENSG00000131697.18_9	425	572	262	180
ENSG00000266687.1	0	0	0	0
ENSG00000069424.16_12	364	741	230	299
ENSG00000116254.18_8	21	4	9	13
ENSG00000285629.1_7	0	0	0	0
ENSG00000116251.11_9	3451	3762	5028	6026
ENSG00000226944.1_10	12	5	3	0
ENSG00000158286.13_6	369	95	245	25
ENSG00000116237.16_7	5068	9353	10958	4260
ENSG00000225077.3_8	5	25	17	14
ENSG00000173673.8_6	0	0	0	0
ENSG00000158292.7_7	606	2497	354	171
ENSG00000097021.20_12	826	2284	702	989
ENSG00000271746.1_8	12	12	2	0
ENSG00000069812.11_8	2395	758	1793	673
ENSG00000187017.18_15	500	24	153	0
ENSG00000265392.1	0	0	0	0
ENSG00000231868.1_10	21	2	1	1
